Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Cancelled_by_Driver_Reason,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Type
2025-08-06,07:05:29,CNR1013015,Cancelled by Customer,IND1440,Bike Lite,Sector 44,Ardee City,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-05,11:47:26,CNR1013400,Success,IND3899,Auto Sharing,Sector 51,Sector 43,6.4,21.3,0.0,,0.0,,0.0,,765.64,3.8,4.0,3.7,UPI
2025-08-02,21:47:08,CNR1014066,Success,EXP3093,Bike,Sector 53,Sector 21,14.3,23.9,0.0,,0.0,,0.0,,407.424,23.2,3.2,4.4,UPI
2025-08-01,23:50:17,CNR1014389,Success,IND6835,Auto,Golf Course Road,Sector 54,12.4,30.1,0.0,,0.0,,0.0,,302.64,2.73,3.6,4.6,Card
2025-08-27,19:38:25,CNR1014425,Cancelled by Driver,IND2194,Cab Premium,Sector 51,Sector 15,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-14,11:12:53,CNR1014579,Success,IND7789,Cab Premium,Cyber City,Sohna Road,5.1,24.9,0.0,,0.0,,0.0,,296.77,3.7,3.6,4.1,Card
2025-08-28,00:21:46,CNR1014600,Success,IND1790,Bike Lite,Sector 46,Ardee City,12.5,28.8,0.0,,0.0,,0.0,,392.14,1.97,4.2,4.3,UPI
2025-08-23,18:00:20,CNR1014952,Success,IND4670,Bike Lite,South City 1,DLF Phase 5,13.8,25.0,0.0,,0.0,,0.0,,786.276,23.95,3.0,3.6,Card
2025-08-07,21:20:35,CNR1018328,Success,IND4383,Cab Economy,Palam Vihar,Sector 56,5.5,17.0,0.0,,0.0,,0.0,,360.27,6.42,4.8,3.8,Cash
2025-08-31,01:08:43,CNR1018774,Incomplete,IND8930,Bike Lite,Sector 53,IFFCO Chowk,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-20,01:12:07,CNR1019533,Cancelled by Customer,IND4949,Auto Sharing,DLF Phase 5,Sector 47,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-31,05:35:25,CNR1020428,Success,EXP2986,Cab Economy,Sector 34,Sikanderpur,10.1,18.7,0.0,,0.0,,0.0,,154.188,1.24,4.8,3.3,Wallet
2025-08-20,06:30:52,CNR1020870,Success,IND6762,Auto Sharing,Cyber City,MG Road,11.9,31.8,0.0,,0.0,,0.0,,587.2,22.47,4.3,4.2,Cash
2025-08-18,02:07:10,CNR1021241,Success,IND5320,Auto Sharing,NH8,Sector 29,12.7,23.3,0.0,,0.0,,0.0,,307.21,16.13,4.5,4.3,Cash
2025-08-23,02:08:37,CNR1022098,Success,IND8147,Cab Economy,Sector 46,Sector 32,8.7,28.6,0.0,,0.0,,0.0,,163.775999999999,2.31,3.3,3.8,Cash
2025-08-17,07:38:37,CNR1022208,Success,IND2540,Auto,MG Road,Sector 18,2.3,20.7,0.0,,0.0,,0.0,,365.784,14.92,3.5,4.3,Card
2025-08-23,09:09:11,CNR1022710,Success,IND7541,Bike Lite,Palam Vihar,Sector 56,10.1,24.7,0.0,,0.0,,0.0,,366.924,24.6,4.8,4.7,Cash
2025-08-16,09:27:39,CNR1022994,Success,IND6703,Cab Premium,Sector 53,Udyog Vihar,4.9,22.6,0.0,,0.0,,0.0,,461.976,14.01,4.6,4.7,Wallet
2025-08-22,05:01:15,CNR1024768,Success,IND5610,Auto,DLF Phase 2,Sector 37,6.1,12.6,0.0,,0.0,,0.0,,300.1,18.31,4.5,5.0,UPI
2025-08-20,11:04:55,CNR1025588,Incomplete,IND2667,Cab Economy,Sector 34,Sikanderpur,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-06,14:54:10,CNR1026085,Cancelled by Driver,IND1012,Cab Premium,NH8,Udyog Vihar,0.0,0.0,0.0,,1.0,Customer related issue,0.0,,0.0,0.0,,,
2025-08-15,17:17:59,CNR1026296,Success,IND9490,Cab Premium,DLF Phase 1,Golf Course Road,4.4,22.7,0.0,,0.0,,0.0,,388.96,20.4,3.7,3.1,UPI
2025-08-27,21:58:20,CNR1027028,Success,EXP9079,Cab Premium,Sector 45,Sector 42,14.4,27.2,0.0,,0.0,,0.0,,123.45,15.48,4.6,4.7,Card
2025-08-30,08:07:02,CNR1027375,Success,EXP7696,Cab Economy,Udyog Vihar,Sector 15,6.5,19.1,0.0,,0.0,,0.0,,276.611999999999,4.78,4.6,3.0,Cash
2025-08-01,03:58:10,CNR1028906,Cancelled by Customer,EXP2746,Bike Lite,Sector 45,Cyber City,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-10,07:52:32,CNR1030153,Cancelled by Driver,IND8350,Auto Sharing,Sector 49,Sector 37,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-01,07:33:45,CNR1030825,Incomplete,EXP3179,Cab Economy,DLF Phase 3,Sector 53,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-26,09:56:18,CNR1032868,Success,EXP2043,Bike Lite,Sector 52,Udyog Vihar,4.4,21.2,0.0,,0.0,,0.0,,156.74,17.81,4.4,4.8,Wallet
2025-08-15,21:00:30,CNR1033397,Success,IND6943,Auto,Jacaranda,NH8,13.2,25.9,0.0,,0.0,,0.0,,744.77,13.85,4.4,3.2,Cash
2025-08-24,12:58:51,CNR1034577,Incomplete,EXP7893,Auto,Sector 48,Sector 49,0.0,0.0,0.0,,0.0,,1.0,Vehicle Breakdown,0.0,0.0,,,
2025-08-24,17:25:06,CNR1036654,Success,IND8650,Bike,Sector 53,South City 1,3.0,22.0,0.0,,0.0,,0.0,,561.935999999999,5.04,4.7,4.0,Wallet
2025-08-01,18:28:40,CNR1037487,Success,EXP2007,Cab Economy,Sector 37,Jacaranda,4.2,24.2,0.0,,0.0,,0.0,,398.4,20.34,4.0,4.1,Cash
2025-08-27,11:34:55,CNR1037666,Success,IND4079,Bike,DLF Phase 3,Huda City Centre,10.7,18.8,0.0,,0.0,,0.0,,619.91,11.74,4.8,3.6,Wallet
2025-08-08,14:37:33,CNR1038729,Success,EXP5240,Auto Sharing,Jacaranda,Sohna Road,12.6,28.9,0.0,,0.0,,0.0,,412.13,17.81,4.7,4.8,Cash
2025-08-07,17:10:27,CNR1038828,Success,IND9135,Bike Lite,Sector 29,Udyog Vihar,4.6,20.0,0.0,,0.0,,0.0,,239.81,1.22,4.9,5.0,Card
2025-08-27,13:46:40,CNR1038877,Incomplete,EXP6152,Auto,Cyber City,South City 2,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-16,17:57:34,CNR1039887,Success,EXP7860,Auto Sharing,Sector 42,Sector 39,5.2,22.4,0.0,,0.0,,0.0,,423.743999999999,3.55,3.2,4.0,Cash
2025-08-15,13:07:35,CNR1041171,Success,IND6860,Bike Lite,Sector 31,Sector 15,9.5,26.6,0.0,,0.0,,0.0,,460.41,9.68,3.8,4.1,UPI
2025-08-07,11:42:32,CNR1041616,Success,IND2269,Bike,Sector 50,Jacaranda,9.9,18.2,0.0,,0.0,,0.0,,918.42,20.86,3.3,4.6,UPI
2025-08-15,12:13:34,CNR1043015,Cancelled by Driver,EXP1964,Bike Lite,Sector 22,Sikanderpur,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-17,17:29:59,CNR1045103,Success,IND6620,Cab Economy,Sector 14,Sector 21,7.5,20.2,0.0,,0.0,,0.0,,543.852,24.62,4.9,3.9,Cash
2025-08-12,09:39:04,CNR1045738,Success,EXP9555,Bike,Sector 45,Huda City Centre,4.9,10.9,0.0,,0.0,,0.0,,275.96,7.5,4.2,4.8,Cash
2025-08-12,07:44:37,CNR1046029,Success,EXP2306,Cab Economy,Sector 50,Sector 14,8.0,18.1,0.0,,0.0,,0.0,,437.11,12.42,3.9,3.2,UPI
2025-08-08,20:45:49,CNR1046825,Incomplete,EXP2521,Cab Economy,Sector 43,South City 2,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-04,23:56:46,CNR1047507,Success,IND6709,Cab Premium,Sector 14,IFFCO Chowk,2.1,8.4,0.0,,0.0,,0.0,,248.79,17.55,4.4,4.0,Card
2025-08-29,18:31:05,CNR1048720,Success,IND3829,Bike,Sector 23,Sector 51,10.3,19.9,0.0,,0.0,,0.0,,174.56,13.97,4.2,4.4,Card
2025-08-23,06:42:17,CNR1049115,Success,IND1851,Cab Economy,Sector 51,Sector 49,8.0,21.2,0.0,,0.0,,0.0,,580.223999999999,23.6,4.8,3.4,Cash
2025-08-21,02:12:51,CNR1049497,Success,EXP5440,Auto Sharing,Sector 39,Sector 22,14.2,22.6,0.0,,0.0,,0.0,,932.73,9.4,3.1,3.1,Card
2025-08-11,17:08:59,CNR1049768,Cancelled by Customer,IND7413,Auto Sharing,Sector 55,Huda City Centre,0.0,0.0,1.0,Driver asked to cancel,0.0,,0.0,,0.0,0.0,,,
2025-08-19,07:54:37,CNR1050462,Incomplete,EXP9293,Cab Economy,Sector 14,DLF Phase 5,0.0,0.0,0.0,,0.0,,1.0,Vehicle Breakdown,0.0,0.0,,,
2025-08-17,12:21:34,CNR1051754,Cancelled by Driver,EXP4481,Auto Sharing,DLF Phase 2,Sector 43,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-01,18:15:45,CNR1052055,Success,IND6767,Cab Economy,Sector 46,Jacaranda,13.4,32.8,0.0,,0.0,,0.0,,791.91,22.43,4.4,4.9,Cash
2025-08-04,08:55:30,CNR1053687,Success,EXP8697,Bike,Sector 22,DLF Phase 5,10.6,25.1,0.0,,0.0,,0.0,,390.78,15.24,3.6,4.3,UPI
2025-08-31,08:59:39,CNR1054448,Success,IND6052,Bike Lite,Sector 23,Sector 17,10.5,30.1,0.0,,0.0,,0.0,,343.512,20.76,4.5,4.7,Cash
2025-08-31,22:03:10,CNR1056627,Success,IND2596,Bike Lite,Sector 37,Sector 23,11.6,17.5,0.0,,0.0,,0.0,,393.816,18.55,3.5,4.7,Card
2025-08-20,16:04:17,CNR1057011,Success,IND6430,Cab Economy,MG Road,Sector 38,8.3,17.1,0.0,,0.0,,0.0,,207.32,9.77,3.8,4.0,Card
2025-08-06,14:31:54,CNR1057296,Success,IND7257,Cab Premium,Sohna Road,Sector 40,11.8,20.7,0.0,,0.0,,0.0,,114.63,9.06,3.4,3.4,UPI
2025-08-09,22:54:47,CNR1058627,Success,IND3514,Auto Sharing,Sector 49,South City 2,13.5,18.9,0.0,,0.0,,0.0,,305.532,17.14,4.8,3.7,Card
2025-08-17,10:58:13,CNR1059834,Success,EXP5539,Cab Premium,DLF Phase 2,Sector 50,6.8,17.9,0.0,,0.0,,0.0,,1033.53599999999,14.29,4.1,4.5,Wallet
2025-08-11,09:25:26,CNR1059941,Cancelled by Driver,EXP9741,Bike,South City 2,Sector 39,0.0,0.0,0.0,,1.0,More than permitted people in there,0.0,,0.0,0.0,,,
2025-08-09,15:49:04,CNR1060336,Cancelled by Driver,IND4540,Cab Premium,DLF Phase 5,Sector 17,0.0,0.0,0.0,,1.0,More than permitted people in there,0.0,,0.0,0.0,,,
2025-08-06,13:07:07,CNR1060776,Success,IND8444,Bike Lite,Sector 23,Sector 21,12.3,21.5,0.0,,0.0,,0.0,,710.82,5.1,4.3,4.6,Wallet
2025-08-14,13:11:22,CNR1061240,Cancelled by Driver,IND7768,Cab Economy,South City 1,Golf Course Road,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-28,12:33:48,CNR1061434,Success,EXP4808,Auto Sharing,Palam Vihar,IFFCO Chowk,14.6,24.2,0.0,,0.0,,0.0,,227.34,9.73,4.6,4.8,Card
2025-08-09,16:13:06,CNR1063388,Cancelled by Customer,EXP8877,Cab Premium,Sector 43,Sector 46,0.0,0.0,1.0,Driver asked to cancel,0.0,,0.0,,0.0,0.0,,,
2025-08-15,13:53:43,CNR1063673,Success,IND7991,Auto Sharing,DLF Phase 3,Sector 32,13.2,19.7,0.0,,0.0,,0.0,,468.72,1.0,4.5,4.7,Wallet
2025-08-28,17:27:58,CNR1064135,Cancelled by Driver,IND3959,Cab Premium,Sector 21,Sector 17,0.0,0.0,0.0,,1.0,The customer was coughing/sick,0.0,,0.0,0.0,,,
2025-08-02,06:16:46,CNR1064314,Cancelled by Driver,EXP2463,Cab Economy,Sector 39,Sector 29,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-05,01:29:05,CNR1064735,Success,IND1898,Cab Economy,Sector 32,Sector 54,4.4,10.6,0.0,,0.0,,0.0,,302.8,20.52,4.4,4.9,Card
2025-08-30,06:27:05,CNR1065246,Success,IND7268,Bike Lite,Sector 42,Sector 32,13.7,22.5,0.0,,0.0,,0.0,,649.259999999999,9.68,4.7,4.4,UPI
2025-08-11,06:37:19,CNR1065816,Cancelled by Driver,IND5583,Cab Premium,Sector 47,Sector 55,0.0,0.0,0.0,,1.0,The customer was coughing/sick,0.0,,0.0,0.0,,,
2025-08-24,06:59:19,CNR1066863,Incomplete,IND3830,Bike,Sector 34,Sikanderpur,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-11,11:32:19,CNR1067017,Success,EXP1015,Bike Lite,Sector 29,Sector 54,11.6,28.0,0.0,,0.0,,0.0,,314.21,10.02,4.5,3.7,Cash
2025-08-23,12:24:38,CNR1067661,Success,IND1364,Cab Premium,Sikanderpur,DLF Phase 3,13.6,26.3,0.0,,0.0,,0.0,,334.224,13.77,4.1,3.5,Cash
2025-08-14,20:48:02,CNR1067952,Incomplete,EXP7168,Cab Economy,Sector 22,Sector 49,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-14,20:54:50,CNR1069831,Success,IND4307,Bike Lite,Sector 39,DLF Phase 5,3.7,18.8,0.0,,0.0,,0.0,,218.46,21.26,3.2,3.0,Wallet
2025-08-30,23:55:29,CNR1070845,Success,IND9696,Cab Economy,Sector 37,Sikanderpur,7.4,14.1,0.0,,0.0,,0.0,,704.244,18.49,3.5,4.7,Card
2025-08-20,03:22:54,CNR1071295,Cancelled by Customer,IND5736,Auto,Sector 40,Rosewood City,0.0,0.0,1.0,Driver asked to cancel,0.0,,0.0,,0.0,0.0,,,
2025-08-14,18:14:42,CNR1072306,Cancelled by Driver,IND8934,Bike Lite,Sector 14,Sector 55,0.0,0.0,0.0,,1.0,The customer was coughing/sick,0.0,,0.0,0.0,,,
2025-08-24,10:55:20,CNR1072916,Cancelled by Driver,EXP1058,Auto,Sector 15,Sector 44,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-12,07:58:23,CNR1073056,Cancelled by Driver,IND2247,Auto,Sector 38,IFFCO Chowk,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-09,15:02:17,CNR1073215,Success,IND1568,Cab Premium,Sector 42,Sector 31,13.7,21.2,0.0,,0.0,,0.0,,327.66,18.68,4.3,4.1,UPI
2025-08-22,15:45:17,CNR1073825,Cancelled by Customer,IND7353,Auto Sharing,MG Road,Jacaranda,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-05,01:53:33,CNR1074113,Incomplete,IND1446,Bike Lite,Sector 50,Sector 31,0.0,0.0,0.0,,0.0,,1.0,Vehicle Breakdown,0.0,0.0,,,
2025-08-30,17:25:14,CNR1074818,Cancelled by Driver,IND7324,Auto Sharing,Sector 23,Sector 37,0.0,0.0,0.0,,1.0,The customer was coughing/sick,0.0,,0.0,0.0,,,
2025-08-18,13:08:16,CNR1075302,Incomplete,IND9666,Cab Premium,Sector 37,Cyber City,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-08,21:57:06,CNR1075367,Success,EXP4595,Bike Lite,Sector 22,Sector 18,8.5,26.2,0.0,,0.0,,0.0,,730.72,2.91,4.4,4.5,Card
2025-08-05,09:24:35,CNR1075931,Cancelled by Driver,IND3162,Auto Sharing,Ardee City,Sector 50,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-07,10:41:06,CNR1076377,Success,IND8483,Auto Sharing,Sector 37,Sector 22,12.8,31.2,0.0,,0.0,,0.0,,466.03,5.48,3.9,3.2,UPI
2025-08-23,02:04:00,CNR1077487,Cancelled by Driver,EXP5060,Bike,Golf Course Road,Huda City Centre,0.0,0.0,0.0,,1.0,More than permitted people in there,0.0,,0.0,0.0,,,
2025-08-30,15:12:38,CNR1077538,Success,IND4712,Cab Premium,Sector 46,DLF Phase 1,8.1,15.6,0.0,,0.0,,0.0,,401.4,1.45,4.2,3.5,Cash
2025-08-19,20:27:17,CNR1077710,Success,IND2896,Cab Economy,MG Road,Sector 29,9.9,24.9,0.0,,0.0,,0.0,,797.9,2.84,4.9,4.3,Cash
2025-08-11,06:45:11,CNR1078753,Cancelled by Driver,IND3952,Bike,Sector 15,Huda City Centre,0.0,0.0,0.0,,1.0,More than permitted people in there,0.0,,0.0,0.0,,,
2025-08-01,02:17:28,CNR1078947,Success,IND5483,Cab Economy,Sector 43,Sector 49,6.4,22.0,0.0,,0.0,,0.0,,359.68,14.38,3.2,4.1,Cash
2025-08-01,22:53:57,CNR1079896,Success,IND7666,Auto,Sector 15,Sector 22,7.6,16.5,0.0,,0.0,,0.0,,586.45,20.16,3.4,4.9,Card
2025-08-30,04:55:25,CNR1081265,Success,IND3715,Cab Premium,Udyog Vihar,Sector 14,12.3,26.2,0.0,,0.0,,0.0,,344.171999999999,6.65,4.8,3.1,Wallet
2025-08-30,16:50:50,CNR1082307,Cancelled by Driver,IND5434,Cab Economy,Sector 56,Sector 50,0.0,0.0,0.0,,1.0,Customer related issue,0.0,,0.0,0.0,,,
2025-08-09,19:27:42,CNR1082503,Success,IND8732,Cab Premium,Sohna Road,DLF Phase 4,10.3,26.8,0.0,,0.0,,0.0,,785.435999999999,11.25,5.0,4.6,Wallet
2025-08-24,13:22:08,CNR1082749,Success,EXP2539,Auto Sharing,Ardee City,Sector 53,3.3,18.3,0.0,,0.0,,0.0,,334.584,1.86,4.7,3.3,UPI
2025-08-17,22:21:13,CNR1083207,Success,EXP5213,Cab Economy,DLF Phase 2,South City 2,10.2,27.8,0.0,,0.0,,0.0,,595.68,13.96,3.0,3.7,Cash
2025-08-27,13:52:36,CNR1083576,Cancelled by Customer,IND9998,Auto Sharing,Sector 48,Sector 34,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-19,08:57:44,CNR1083934,Success,EXP2674,Auto Sharing,Sector 45,Palam Vihar,4.8,14.9,0.0,,0.0,,0.0,,487.85,3.01,4.6,4.1,Card
2025-08-01,17:45:02,CNR1084059,Success,IND5147,Bike Lite,Sector 40,DLF Phase 2,6.3,16.8,0.0,,0.0,,0.0,,320.43,3.01,3.1,4.5,Cash
2025-08-28,02:23:22,CNR1084918,Cancelled by Driver,EXP2861,Auto,Cyber City,Sector 22,0.0,0.0,0.0,,1.0,Personal & Car related issues,0.0,,0.0,0.0,,,
2025-08-14,03:03:41,CNR1085683,Success,EXP8925,Bike,Sector 45,Sector 15,12.7,22.8,0.0,,0.0,,0.0,,541.15,3.9,4.5,3.9,Cash
2025-08-14,05:06:29,CNR1086977,Success,IND5557,Cab Economy,Huda City Centre,DLF Phase 2,3.6,10.2,0.0,,0.0,,0.0,,243.74,20.32,3.9,3.8,Card
2025-08-30,00:38:06,CNR1087262,Success,IND9005,Cab Economy,Sector 38,MG Road,9.7,24.4,0.0,,0.0,,0.0,,431.316,18.1,3.2,3.0,Cash
2025-08-28,15:02:16,CNR1088324,Success,IND8195,Cab Premium,Sector 34,Sector 23,5.9,13.9,0.0,,0.0,,0.0,,875.8,1.81,4.9,3.8,Wallet
2025-08-16,20:22:26,CNR1089900,Success,IND8030,Cab Economy,Sector 56,Sector 43,14.0,26.7,0.0,,0.0,,0.0,,987.348,18.88,4.1,4.2,Wallet
2025-08-10,09:00:21,CNR1090061,Success,EXP3261,Cab Economy,Sector 29,Sector 46,9.2,24.6,0.0,,0.0,,0.0,,1100.508,15.87,4.2,4.3,UPI
2025-08-28,03:49:57,CNR1090638,Success,EXP6048,Auto,Cyber City,Sector 15,5.5,14.4,0.0,,0.0,,0.0,,272.93,12.68,4.0,5.0,Wallet
2025-08-02,00:03:01,CNR1091252,Cancelled by Driver,EXP9648,Auto,Huda City Centre,DLF Phase 4,0.0,0.0,0.0,,1.0,The customer was coughing/sick,0.0,,0.0,0.0,,,
2025-08-15,05:36:03,CNR1091814,Success,IND2331,Bike,Sector 17,Sector 47,14.4,29.2,0.0,,0.0,,0.0,,110.92,8.87,3.9,4.5,Card
2025-08-09,01:11:43,CNR1094643,Incomplete,EXP9511,Auto,Huda City Centre,Sector 54,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-10,07:19:08,CNR1095615,Success,EXP5774,Bike,Sector 21,Sector 23,11.6,30.3,0.0,,0.0,,0.0,,512.64,17.32,4.9,3.8,Cash
2025-08-16,01:36:03,CNR1095752,Success,EXP6532,Cab Premium,Sector 23,Sector 52,7.2,27.0,0.0,,0.0,,0.0,,340.188,10.75,3.5,4.9,Card
2025-08-09,13:21:56,CNR1096882,Success,IND9051,Cab Premium,Ardee City,Sector 53,9.6,19.0,0.0,,0.0,,0.0,,247.248,18.21,4.3,3.2,UPI
2025-08-26,09:36:53,CNR1097620,Success,IND4625,Auto,DLF Phase 1,Sector 43,6.7,26.1,0.0,,0.0,,0.0,,147.21,19.55,3.5,4.3,UPI
2025-08-03,08:07:40,CNR1097670,Success,IND2845,Bike,Sector 47,Sector 39,3.0,8.8,0.0,,0.0,,0.0,,398.58,23.98,4.0,3.7,Cash
2025-08-28,06:04:35,CNR1098611,Cancelled by Driver,EXP1457,Bike Lite,Huda City Centre,Sector 44,0.0,0.0,0.0,,1.0,More than permitted people in there,0.0,,0.0,0.0,,,
2025-08-19,07:23:31,CNR1098782,Success,EXP7068,Bike Lite,DLF Phase 5,Sector 18,13.5,28.4,0.0,,0.0,,0.0,,451.72,8.09,4.8,4.3,Card
2025-08-19,11:23:24,CNR1099919,Cancelled by Customer,EXP6506,Auto Sharing,DLF Phase 4,Sector 15,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-01,03:24:37,CNR1100645,Incomplete,IND6778,Bike,Sector 42,Ardee City,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-07,03:59:14,CNR1100983,Success,IND9491,Auto,Sector 51,Sector 23,3.4,13.8,0.0,,0.0,,0.0,,708.74,2.66,3.5,4.0,Cash
2025-08-22,05:46:52,CNR1101351,Success,EXP6794,Cab Premium,Sector 51,South City 1,11.2,19.9,0.0,,0.0,,0.0,,496.09,20.76,3.6,4.8,Cash
2025-08-28,16:16:56,CNR1103833,Cancelled by Driver,IND8655,Bike,Sector 50,DLF Phase 5,0.0,0.0,0.0,,1.0,Customer related issue,0.0,,0.0,0.0,,,
2025-08-22,15:13:21,CNR1104152,Success,IND3345,Cab Premium,Sector 51,South City 2,10.3,21.3,0.0,,0.0,,0.0,,508.12,7.33,3.7,4.9,UPI
2025-08-11,07:17:50,CNR1105679,Success,IND1734,Bike,DLF Phase 4,Sector 31,8.0,21.2,0.0,,0.0,,0.0,,235.31,14.72,4.3,3.7,Cash
2025-08-17,04:24:49,CNR1106680,Success,EXP4251,Bike,Sector 22,Sector 23,2.4,7.7,0.0,,0.0,,0.0,,1121.772,10.49,4.0,4.1,Wallet
2025-08-24,21:10:01,CNR1107042,Success,IND2420,Auto Sharing,Sector 34,Sector 42,9.2,17.7,0.0,,0.0,,0.0,,507.36,18.84,4.6,3.4,Wallet
2025-08-14,22:03:52,CNR1107376,Success,EXP1229,Cab Premium,Palam Vihar,Sector 31,12.3,27.0,0.0,,0.0,,0.0,,762.75,24.19,3.4,3.0,Cash
2025-08-31,10:31:12,CNR1107971,Incomplete,IND6300,Cab Premium,Sector 42,Sector 22,0.0,0.0,0.0,,0.0,,1.0,Vehicle Breakdown,0.0,0.0,,,
2025-08-16,05:17:05,CNR1108046,Incomplete,IND7856,Cab Economy,Sohna Road,Sector 39,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-03,12:32:46,CNR1109860,Success,IND5852,Cab Premium,Sector 34,Ardee City,7.0,23.9,0.0,,0.0,,0.0,,135.155999999999,5.24,3.8,3.6,Card
2025-08-22,23:25:44,CNR1109969,Success,EXP6363,Auto Sharing,Sector 31,Huda City Centre,11.8,29.3,0.0,,0.0,,0.0,,464.89,3.64,4.3,4.1,UPI
2025-08-09,00:40:38,CNR1110957,Incomplete,IND5823,Cab Economy,Sector 48,Sector 39,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-26,20:05:15,CNR1112319,Success,IND6385,Bike Lite,Sector 29,Palam Vihar,8.6,22.4,0.0,,0.0,,0.0,,295.06,2.6,4.1,4.7,Wallet
